id,images
Barbell_Shoulder_Press,"Barbell_Shoulder_Press/0.jpg, Barbell_Shoulder_Press/1.jpg"
Barbell_Shrug,"Barbell_Shrug/0.jpg, Barbell_Shrug/1.jpg"
Barbell_Shrug_Behind_The_Back,"Barbell_Shrug_Behind_The_Back/0.jpg, Barbell_Shrug_Behind_The_Back/1.jpg"
Barbell_Side_Bend,"Barbell_Side_Bend/0.jpg, Barbell_Side_Bend/1.jpg"
Barbell_Side_Split_Squat,"Barbell_Side_Split_Squat/0.jpg, Barbell_Side_Split_Squat/1.jpg"
Barbell_Squat,"Barbell_Squat/0.jpg, Barbell_Squat/1.jpg"
Barbell_Squat_To_A_Bench,"Barbell_Squat_To_A_Bench/0.jpg, Barbell_Squat_To_A_Bench/1.jpg"
Barbell_Step_Ups,"Barbell_Step_Ups/0.jpg, Barbell_Step_Ups/1.jpg"
Barbell_Walking_Lunge,"Barbell_Walking_Lunge/0.jpg, Barbell_Walking_Lunge/1.jpg"
Battling_Ropes,"Battling_Ropes/0.jpg, Battling_Ropes/1.jpg"
Bear_Crawl_Sled_Drags,"Bear_Crawl_Sled_Drags/0.jpg, Bear_Crawl_Sled_Drags/1.jpg"
Behind_Head_Chest_Stretch,"Behind_Head_Chest_Stretch/0.jpg, Behind_Head_Chest_Stretch/1.jpg"
Bench_Dips,"Bench_Dips/0.jpg, Bench_Dips/1.jpg"
Bench_Jump,"Bench_Jump/0.jpg, Bench_Jump/1.jpg"
Bench_Press_-_Powerlifting,"Bench_Press_-_Powerlifting/0.jpg, Bench_Press_-_Powerlifting/1.jpg"
Bench_Press_-_With_Bands,"Bench_Press_-_With_Bands/0.jpg, Bench_Press_-_With_Bands/1.jpg"
Bench_Press_with_Chains,"Bench_Press_with_Chains/0.jpg, Bench_Press_with_Chains/1.jpg"
Bench_Sprint,"Bench_Sprint/0.jpg, Bench_Sprint/1.jpg"
Bent-Arm_Barbell_Pullover,"Bent-Arm_Barbell_Pullover/0.jpg, Bent-Arm_Barbell_Pullover/1.jpg"
Bent-Arm_Dumbbell_Pullover,"Bent-Arm_Dumbbell_Pullover/0.jpg, Bent-Arm_Dumbbell_Pullover/1.jpg"
Bent-Knee_Hip_Raise,"Bent-Knee_Hip_Raise/0.jpg, Bent-Knee_Hip_Raise/1.jpg"
Bent_Over_Barbell_Row,"Bent_Over_Barbell_Row/0.jpg, Bent_Over_Barbell_Row/1.jpg"
Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench,"Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench/0.jpg, Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench/1.jpg"
Bent_Over_Low-Pulley_Side_Lateral,"Bent_Over_Low-Pulley_Side_Lateral/0.jpg, Bent_Over_Low-Pulley_Side_Lateral/1.jpg"
Bent_Over_One-Arm_Long_Bar_Row,"Bent_Over_One-Arm_Long_Bar_Row/0.jpg, Bent_Over_One-Arm_Long_Bar_Row/1.jpg"
Bent_Over_Two-Arm_Long_Bar_Row,"Bent_Over_Two-Arm_Long_Bar_Row/0.jpg, Bent_Over_Two-Arm_Long_Bar_Row/1.jpg"
Bent_Over_Two-Dumbbell_Row,"Bent_Over_Two-Dumbbell_Row/0.jpg, Bent_Over_Two-Dumbbell_Row/1.jpg"
